                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96555,                 2.1143,                 1.0462,                0.10613,                0.83789,                0.71943,                0.58835,                0.69436,                    inf,                0.87252,                0.00325,                0.00325,                0.00325
                      2,                0.81458,                0.68593,                0.90848,                      1,                0.37687,                0.87181,                0.72021,                0.71909,                    inf,                 0.8466,              0.0065768,              0.0065768,              0.0065768
                      3,                0.81476,                0.62011,                0.89446,                0.97545,                0.92776,                0.97018,                0.80272,                0.65257,                0.82587,                0.85034,               0.009897,               0.009897,               0.009897
                      4,                0.76603,                0.56441,                0.88344,                0.94207,                0.88151,                0.94977,                0.80288,                0.61595,                0.76582,                 0.8419,              0.0099703,              0.0099703,              0.0099703
                      5,                0.70153,                0.49092,                0.86356,                0.98033,                0.95159,                0.98115,                0.84026,                0.54773,                0.44053,                0.83833,              0.0099703,              0.0099703,              0.0099703
                      6,                0.66919,                0.44448,                0.85536,                0.97522,                 0.9502,                0.98256,                0.84147,                0.55473,                0.43028,                0.83339,              0.0099604,              0.0099604,              0.0099604
                      7,                0.63345,                0.42381,                0.85063,                0.98531,                0.95551,                0.98585,                0.86161,                0.49222,                0.37693,                0.81852,              0.0099505,              0.0099505,              0.0099505
                      8,                0.61396,                 0.4087,                0.84687,                0.98146,                0.95222,                0.98507,                0.88318,                0.45474,                0.36658,                 0.8198,              0.0099406,              0.0099406,              0.0099406
                      9,                0.59772,                0.38346,                0.84355,                0.98592,                0.95966,                0.98739,                0.88457,                0.45318,                0.34775,                0.81661,              0.0099307,              0.0099307,              0.0099307
                     10,                0.58771,                0.37779,                0.84085,                0.98505,                0.96293,                0.98746,                0.87752,                 0.4634,                0.35679,                0.82326,              0.0099208,              0.0099208,              0.0099208
                     11,                0.57274,                0.35933,                0.83711,                0.98487,                0.96445,                0.98811,                0.88657,                0.43654,                0.32386,                0.81474,              0.0099109,              0.0099109,              0.0099109
                     12,                 0.5626,                0.35288,                0.83446,                0.98966,                0.96491,                0.98857,                0.89147,                0.42326,                0.31305,                0.81782,               0.009901,               0.009901,               0.009901
                     13,                0.55735,                0.35372,                0.83411,                0.98624,                0.96798,                0.98925,                0.90144,                0.40662,                 0.2992,                 0.8049,              0.0098911,              0.0098911,              0.0098911
                     14,                0.54242,                0.34698,                0.83212,                0.98961,                0.96848,                 0.9901,                0.90038,                0.41498,                0.28563,                0.80832,              0.0098812,              0.0098812,              0.0098812
                     15,                0.54063,                0.34022,                0.83171,                0.98948,                0.96013,                0.98965,                0.91124,                0.39232,                0.29009,                0.80532,              0.0098713,              0.0098713,              0.0098713
                     16,                0.53753,                0.32718,                0.82893,                0.99049,                0.96697,                0.98979,                0.89944,                0.41264,                0.28951,                0.80889,              0.0098614,              0.0098614,              0.0098614
                     17,                0.52648,                0.32831,                0.82814,                 0.9904,                0.96204,                0.98957,                0.91281,                0.39166,                0.27601,                0.80446,              0.0098515,              0.0098515,              0.0098515
                     18,                 0.5211,                0.32481,                0.82715,                0.98738,                0.96661,                0.98979,                0.90064,                0.41081,                0.29877,                 0.8069,              0.0098416,              0.0098416,              0.0098416
                     19,                0.51827,                0.31713,                 0.8271,                0.98946,                0.97011,                0.99079,                0.91215,                0.39579,                0.27007,                0.80542,              0.0098317,              0.0098317,              0.0098317
                     20,                0.51113,                0.31593,                0.82558,                0.99069,                 0.9647,                   0.99,                0.91386,                0.38975,                0.26934,                0.80327,              0.0098218,              0.0098218,              0.0098218
                     21,                0.51104,                0.31135,                0.82421,                 0.9898,                0.96692,                0.99005,                0.90847,                0.40251,                0.26938,                0.80853,              0.0098119,              0.0098119,              0.0098119
